,order_id,attack_id,attack_type
0,273217,1,pump_n_dump
1,273220,1,pump_n_dump
2,273223,1,pump_n_dump
3,273273,2,layering
4,273277,2,layering
5,273278,2,layering
6,273279,2,layering
7,273280,2,layering
8,273282,2,layering
9,273286,2,layering
10,273287,3,layering
11,273291,3,layering
12,273292,3,layering
13,273293,3,layering
14,273294,3,layering
15,273296,3,layering
16,273300,3,layering
17,273350,4,wash_trade
18,273351,4,wash_trade
19,273399,5,layering
20,273403,5,layering
21,273404,5,layering
22,273405,5,layering
23,273406,5,layering
24,273408,5,layering
25,273412,5,layering
26,273464,6,wash_trade
27,273465,6,wash_trade
28,273628,7,pump_n_dump
29,273631,7,pump_n_dump
30,273634,7,pump_n_dump
31,273635,8,layering
32,273639,8,layering
33,273640,8,layering
34,273641,8,layering
35,273642,8,layering
36,273644,8,layering
37,273648,8,layering
38,273740,9,layering
39,273744,9,layering
40,273745,9,layering
41,273746,9,layering
42,273747,9,layering
43,273749,9,layering
44,273753,9,layering
45,273754,10,wash_trade
46,273755,10,wash_trade
47,273855,11,layering
48,273859,11,layering
49,273860,11,layering
50,273861,11,layering
51,273862,11,layering
52,273864,11,layering
53,273868,11,layering
54,273869,12,pump_n_dump
55,273872,12,pump_n_dump
56,273875,12,pump_n_dump
57,273923,13,wash_trade
58,273924,13,wash_trade
59,274031,14,pump_n_dump
60,274039,14,pump_n_dump
61,274061,14,pump_n_dump
62,274062,15,pump_n_dump
63,274083,15,pump_n_dump
64,274113,15,pump_n_dump
65,274190,16,wash_trade
66,274191,16,wash_trade
67,274306,17,layering
68,274316,17,layering
69,274319,17,layering
70,274322,17,layering
71,274325,17,layering
72,274332,17,layering
73,274345,17,layering
74,274555,18,wash_trade
75,274556,18,wash_trade
76,274597,19,layering
77,274601,19,layering
78,274602,19,layering
79,274603,19,layering
80,274604,19,layering
81,274610,19,layering
82,274631,19,layering
83,274636,20,wash_trade
84,274642,20,wash_trade
85,274645,21,wash_trade
86,274648,21,wash_trade
87,274726,22,pump_n_dump
88,274731,22,pump_n_dump
89,274751,22,pump_n_dump
90,274772,23,layering
91,274778,23,layering
92,274780,23,layering
93,274781,23,layering
94,274783,23,layering
95,274787,23,layering
96,274801,23,layering
97,275175,24,wash_trade
98,275177,24,wash_trade
99,275549,25,layering
100,275553,25,layering
101,275554,25,layering
102,275555,25,layering
103,275556,25,layering
104,275558,25,layering
105,275562,25,layering
106,275563,26,pump_n_dump
107,275566,26,pump_n_dump
108,275569,26,pump_n_dump
109,275611,27,layering
110,275615,27,layering
111,275616,27,layering
112,275618,27,layering
113,275621,27,layering
114,275624,27,layering
115,275629,27,layering
116,275630,28,wash_trade
117,275631,28,wash_trade
118,275632,29,pump_n_dump
119,275635,29,pump_n_dump
120,275639,29,pump_n_dump
121,275662,30,layering
122,275668,30,layering
123,275671,30,layering
124,275673,30,layering
125,275677,30,layering
126,275684,30,layering
127,275705,30,layering
128,275863,31,pump_n_dump
129,275868,31,pump_n_dump
130,275893,31,pump_n_dump
131,276125,32,pump_n_dump
132,276129,32,pump_n_dump
133,276156,32,pump_n_dump
134,276162,33,wash_trade
135,276168,33,wash_trade
136,276170,34,layering
137,276175,34,layering
138,276176,34,layering
139,276177,34,layering
140,276178,34,layering
141,276181,34,layering
142,276188,34,layering
143,276190,35,layering
144,276196,35,layering
145,276197,35,layering
146,276199,35,layering
147,276201,35,layering
148,276203,35,layering
149,276211,35,layering
150,276217,36,wash_trade
151,276225,36,wash_trade
152,276229,37,pump_n_dump
153,276245,37,pump_n_dump
154,276254,37,pump_n_dump
155,276257,38,wash_trade
156,276259,38,wash_trade
157,276261,39,pump_n_dump
158,276267,39,pump_n_dump
159,276279,39,pump_n_dump
160,276288,40,layering
161,276298,40,layering
162,276301,40,layering
163,276303,40,layering
164,276307,40,layering
165,276314,40,layering
166,276324,40,layering
167,276416,41,pump_n_dump
168,276424,41,pump_n_dump
169,276439,41,pump_n_dump
170,276441,42,wash_trade
171,276444,42,wash_trade
172,276527,43,wash_trade
173,276530,43,wash_trade
174,276533,44,wash_trade
175,276535,44,wash_trade
176,276770,45,wash_trade
177,276771,45,wash_trade
178,276855,46,pump_n_dump
179,276859,46,pump_n_dump
180,276868,46,pump_n_dump
181,276871,47,pump_n_dump
182,276881,47,pump_n_dump
183,276917,47,pump_n_dump
184,277066,48,layering
185,277073,48,layering
186,277075,48,layering
187,277076,48,layering
188,277078,48,layering
189,277080,48,layering
190,277088,48,layering
191,277178,49,layering
192,277184,49,layering
193,277185,49,layering
194,277187,49,layering
195,277189,49,layering
196,277196,49,layering
197,277218,49,layering
198,277224,50,pump_n_dump
199,277230,50,pump_n_dump
200,277238,50,pump_n_dump
201,277252,51,wash_trade
202,277254,51,wash_trade
203,277259,52,layering
204,277269,52,layering
205,277272,52,layering
206,277274,52,layering
207,277278,52,layering
208,277286,52,layering
209,277295,52,layering
210,277298,53,layering
211,277304,53,layering
212,277305,53,layering
213,277306,53,layering
214,277308,53,layering
215,277312,53,layering
216,277333,53,layering
217,277338,54,wash_trade
218,277344,54,wash_trade
219,277347,55,pump_n_dump
220,277361,55,pump_n_dump
221,277370,55,pump_n_dump
222,277668,56,pump_n_dump
223,277671,56,pump_n_dump
